自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,ストリートトップマウント(F/R),バネレート(F/R),仕様,注意事項,定価,取付売価
ACURA,CL,YA1,96～00 ,,,178752,,170641,D-AC-01-qq-e-989k,出さない,D-AC-01,D2JAPAN,サスペンションシステム ドラッグ,アルミ/アルミ,12.0/8.7,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,228000,出さない
ACURA,CL,YA4,01～03 ,,,178752,,170642,D-AC-02-qq-e-990k,出さない,D-AC-02,D2JAPAN,サスペンションシステム ドラッグ,アルミ/アルミ,12.0/8.7,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,228000,出さない
ACURA,NSX,NA1,90～05 ,,,163072,,169262,D-AC-18-qq-e-31,出さない,D-AC-18,D2JAPAN,サスペンションシステム ドラッグ,アルミ/アルミ,12.0/9.8,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,RSX,DC5,01～06 ,,,163072,,169249,D-AC-11-qq-e-741,出さない,D-AC-11,D2JAPAN,サスペンションシステム ドラッグ,ピロボール+ラバー/アルミ,7.2/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,RSX,DC5,05～UP ,,,163072,,169255,D-AC-12-qq-e-742,出さない,D-AC-12,D2JAPAN,サスペンションシステム ドラッグ,ピロボール+ラバー/アルミ,7.2/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,TL,UA5,99～03 ,,,178752,,170643,D-AC-13-qq-e-991k,出さない,D-AC-13,D2JAPAN,サスペンションシステム ドラッグ,アルミ/アルミ,12.0/8.7,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,228000,出さない
ACURA,インテグラ,DA6,89～93 ,シングルカム<br>リア:アイ,,163072,,169209,D-AC-03-qq-e-733,出さない,D-AC-03,D2JAPAN,サスペンションシステム ドラッグ,アルミ/アルミ,8.7/9.8,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DA6,89～93 ,シングルカム<br>リア:フォーク,,163072,,169217,D-AC-05-qq-e-736,出さない,D-AC-05,D2JAPAN,サスペンションシステム ドラッグ,アルミ/アルミ,8.7/9.8,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DA6,89～93 ,ツインカム<br>リア:アイ,,163072,,169212,D-AC-04-qq-e-735,出さない,D-AC-04,D2JAPAN,サスペンションシステム ドラッグ,アルミ/アルミ,8.7/9.8,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DA6,89～93 ,ツインカム<br>リア:フォーク,,163072,,169218,D-AC-06-qq-e-36,出さない,D-AC-06,D2JAPAN,サスペンションシステム ドラッグ,アルミ/アルミ,8.7/9.8,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
